,count
这么帅？,2
天哪这简直就是我,2
csgo玩家表示很简单,2
逆天名字,2
感觉不如csgo,2
《我导管是为了中国性教育》,2
这就叫专业,2
玩派玩的,2
刷不到,2
还是这个好使,2
龟龟,2
不是sova？,2
xxn是这样的,2
apex玩家直接吃耙耙了,2
33333,2
真神！,2
经典笑死,2
开始了,2
催化姬？,2
apex玩家暴怒,2
不是sofa？,2
保安魅力时刻,2
今天不开心,2
xxn,2
csgo玩家狂喜,2
刚刚,2
t1,2
谁家汤姆,2
id瞩目,2
离子神中神,2
不如cf,2
吓我一跳,2
气急败坏,2
看到这个正义想起4399火线精英里的了,2
这个确实挺好的啊,2
他出了一个名狙司命,2
你都没升级啊,2
一点也不轻，感觉挺重的用起来,2
啊？异星霸主就是重才喜欢好吧,2
我的手机,2
广告位招租,2
ppt,2
我选择睡觉！,2
睡觉,2
开始变得抽象了,2
卧槽？,2
哥们你准星呢,2
就冲它低频炸耳买的 声效第一爽,2
自己死了跟皮肤没啥联系吧,2
这个龙不能扑下来就没一点意思,2
自己菜的要死呵呵,2
人菜关皮肤什么事,2
模型丑音效难听,2
菜怪的了谁啊,2
《自不量力》,2
表面搜点,2
下把起航母,2
每日注入（1/1）,2
apex散热器,2
我一般叫冥狗,2
這不是重嗎？,2
手感不错的别听评论区的瞎说,2
莫伊拉,2
音效感觉有点卡,2
黑武士是吧,2
红色弹道？,2
音效轻但是手感重啊，也只有混沌能比异星重了,2
这还轻啊,2
原皮也就那样，但炫彩极其牛逼,2
蟑螂？,2
塔达林高阶领主,2
cf走在先列是吧,2
炫彩有魅力,2
就是没枪管，看着难受,2
R点,2
音效拉了,2
这个金色的风格跟散热器一模一样,2
黑骑士是吧,2
轻？,2
我的麦炸吗？,2
明明偏重,2
小美是吧,2
夹子,2
有女同？哪里有女同？！！！,2
这个确实好听,2
不会急停,2
莫伊拉？,2
名刀司命是吧,2
善伯乐,2
挺好的啊,2
钢索呢？,2
冥狙确实压迫感强,2
尚博勒翻译成傻啵勒吧,2
谐音梗扣分,2
正义翻的可以，一听就觉得很猛,2
声音这么性感的吗？,2
不是叫季伯常吗,2
我都叫这名狗,2
ch在法语里面就是sh的发音,2
维和者,2
冥就是死亡，驹多指马  所以翻译**,2
给策划唐完了,2
还不如叫布史东,2
答辩吗？无脑喷?,2
不如直接叫大狙,2
是我没错了,2
呼叫沸羊羊,2
最喜欢看女人吵架了,2
yue,2
cf呢,2
在队友夸赞中逐渐迷失自我,2
是奇（ji）点,2
有女同吗（doge,2
11111111,2
我们五个真厉害,2
灶台很大，厨师有很多发挥空间,2
惨了又是4观众！,2
我懂我懂,2
陌生！,2
虚晃一枪,2
百灵鸟,2
现在结束了,2
香香的女孩，总有咸咸的地方,2
近大远小,2
碰瓷是吧,2
什么沸羊羊,2
五杀不给xdm看？,2
喜欢蹲,2
堡垒之夜,2
经典炸膛,2
apex,2
欧门神射马也就算了，钱包你一个玩猎头手枪的怎么也马,2
没带耳机？没带眼睛！,2
最后一个更是重量级,2
随机弹道发力了,2
这被打了个0:3,2
血压高了……,2
啧啧啧真描边,2
都扫到了也不知道,2
你就说快不快,2
钱包用的不也是神射?,2
牛,2
仔细看，这俩人的射击数差距并不大，换句话说，都是马术高手,2
这场战斗并非清汤寡水，两位厨师长正在精心烹饪,2
优秀的匹配机制,2
系统分的,2
雷兹大意失亲马,2
玩邦邦玩的,2
这不怪大家,2
最绝的是猎枭的箭探到了，结果对面都没反应,2
edg加油！,2
1+1&gt;2,2
邦邦玩家特有的游戏面丰富,2
最难受的是，这俩人有一个要赢得比赛,2
slss！,2
你！已被！剥夺力量！,2
沙比,2
莲神！,2
卡宾,2
MP5-SS,2
还是毁灭,2
一定,2
幻影感觉提升，狂徒感觉拉跨,2
比我厉害！,2
uzi,2
这个保安的马枪把这个视频抬到了另一个高度,2
我有一个问题，这苏发是真没看见这个欧门吗,2
如果捡鬼魅就杀了,2
偷袭这个不是炸弹妹吗,2
很抱歉以这种方式认识你 王玄硕,2
都忙点好啊,2
换个准星可能会好一点,2
自欺欺人,2
对面找的,2
我问你杀没杀,2
每个人都很忙,2
雷神,2
m1216,2
巴雷特毁灭,2
所以這是不是新手教學！,2
0.5，细节人体描边,2
我真是新手，你这说的啥我真听不懂,2
我打过一局，12比5，对面反杀了,2
ok 最强的英雄是队友,2
“技能交完在死”,2
这Nm  烟雾迷宫,2
就会奶妈,2
废话一堆,2
KJ,2
这他妈是新手向？,2
不愧是音乐公司,2
炼狱还行,2
15,2
你至少先说技能再讲比赛啊。不然咋代入,2
闪自己人 烧自己人 杰宝,2
玩不死鸟没有一次不闪到自己,2
P5r天下第一,2
杰特太难了,2
人,2
废话太多，有了,2
新手根本不知道什么技能说了一大推,2
又是ziywoo(,2
我TM是来听你来回放的？,2
标题叫做最适合新人的英雄，结果讲了两分钟进度的四分之一还没介绍英雄的技能。。,2
有感觉了,2
这下对味了,2
魄狙,2
感觉枪变准了,2
M700,2
m240b,2
?\,2
其实有三条（）,2
看到现在为止，看不出标题跟内容有什么关系。,2
确实 csgo过来的直接上芮娜 哈哈,2
你说的这些是给新手听的？？,2
今天射不准的话也别担心，总有其他办法赢的,2
现在我玩了60小时左右来回看这个视频，才能理解各种简称术语啥的。,2
前几天刚玩，朋友就让我玩烟男，一脸懵,2
你说的这些新手能听明白吗,2
这视频到底在讲啥,2
他的新角色总结,2
锁头,2
你觉得真的新手听得明白你现在的这些话嘛,2
姿态,2
帅莲神帅,2
ok,2
复活欧门的事上,2
肯定是让贤者复活谁被拒绝了吧,2
磕芮娜和贤者cp很多，外面好多同人图,2
有人怀疑是有关幽影现状的问题,2
这里好像成龙历险记里面的小蛇,2
还有“oh，Corazon”,2
闪这么快担心我看得清是吧,2
贤者的复活有代价的,2
因为欧门,2
突然愣住有点可爱,2
批量复活,2
因为欧门吧,2
也不是，reyna有句击杀语音是“我会为你带一束花”,2
跟上坤哥的节奏！,2
盖亚蓝炫彩很好看,2
奥丁狗！,2
巨丑,2
let me do it for you,2
假传 真送,2
中肯的,2
什么批动静,2
是钱包推荐的不是贤者,2
飞将小课堂,2
看danking看的,2
剪这么帅,2
伊戈达拉,2
红色小丑,2
go批收收味,2
好好好这么剪是吧,2
睡觉！,2
开饭了开饭了,2
给我气笑了,2
瞬没棍哥,2
这样剪？,2
好活当赏,2
父母组,2
好快的狙！,2
1比10,2
喷子:你说什么？,2
调侃罢了 国外很多讽刺都挺抽象的,2
确实在对局里有这种对话,2
武大你来啦,2
这叫嘲讽和嘲笑吗？这是打情骂俏啊！！！！！,2
哪有嘲笑 明显调情,2
医闹,2
国服多少郭钕公主急了开麦乱叫不见你们说？,2
好实诚的夜戮,2
国服多少国男急了开麦乱叫不见你们说？,2
嗓门够大的,2
啥玩意 观众自行脑补是吧,2
逆天，我指两边,2
？？？这样帅,2
天天玩小丑,2
byd绿幕都不扣是吧,2
意识流剪辑,2
小丑面具,2
125秒,2
抽象剪辑啊，哈哈哈哈,2
好好看的皮肤,2
男的打游戏不叫是吧,2
？？？？真的假的,2
英俊 哇哇 头,2
对面：timing！,2
你好毕加蛙,2
绿幕都不扣了是吧，笑死,2
走a,2
素材库免费日是吧,2
老头发力了,2
一坨shi不行,2
你这个次元漂移，让我想起了西游记动画片,2
bgm三连了,2
伯乐：你知道我要说什么,2
我是关音菩萨，提醒您前方高能,2
约德尔人头线,2
牛蛙就会这么叫哈哈哈哈哈,2
说几句怎么了女的这么矫情,2
睡姿不好 起来重睡,2
叫两下怎么了男的嘴这么臭呢,2
讲究一个荤素搭配,2
真能叫,2
我缺的这块营养怎么办？,2
经典瞄地面,2
我关音菩萨呢？？？？？？？,2
一听就是好马,2
加油，,2
停稳了再打啊,2
是你 BLUE JOKER,2
伯乐看了都说好马,2
绿幕都不扣了！,2
你叫你码呢,2
素材库限时免费是吧？,2
杀猪了？,2
有K/O,2
敌方五个守一个点也是高手,2
关匹配机制啥事啊，这是新号,2
TF2是这样的,2
虽然我今天有一局遇到现场封了一个的，但防作弊还是烂,2
上头,2
对不起，外服爪子蝴蝶已经用不过来了,2
哈哈哈哈哈哈哈哈钱包,2
你瓦罗兰特封的好和无畏契约有什么关系啊,2
经典星际穿越,2
说游戏你提充钱干嘛，不会玩其他服务器？,2
吃完菌子的世界,2
真不如守望先锋,2
蛋黄派是你吗,2
1:10也比csgo血本无归好呀,2
她和匪在一起,2
csgo血本无归?你扯啥呢,2
CSGO（好评）,2
CSGO你币有了,2
为什么不是鸟狙,2
没有低头加旋转,2
清朝老兵是吧,2
全白,2
无畏契约用的马服的反作弊，只管换肤,2
众所周知，腾讯的客服没有活人,2
都什么年代了，还在玩传统fps,2
国服的瓦不应该是开麦喷吗？,2
屏幕坏点检测,2
《图灵测试通过》,2
笑死了，也一堆挂，，，,2
钱博尔gif,2
HUNTER,2
一来瓦外服国服反作弊不同，二来除了人工少的港服你开ai挂举报人工封的也远比其他fps游戏多,2
《拉裤之歌》,2
外服瓦的封挂力度还不够？,2
洛卡~,2
终测七天封了8000+，挂勾好死,2
团队给大哥上票，挑战给大哥上炮,2
《金铁兽》,2
什么传统fps，这明明是美国原神,2
b点单向隔断,2
好烟！,2
cf,2
g了,2
好像嘞,2
大哥，别送了,2
byd你这是求生之路的jockey吧,2
我策1:10,2
得了吧，马服稀碎，港服一封一个，挂哥还没开始操作就被封了,2
妈 妈 生 的,2
csgo yyds,2
大哥都是鸟狙,2
越看越丑,2
瓦是这样的，闪和烟除了白色其他色都有的捏,2
樱岛麻衣：ni xian kai de,2
得了吧瓦现在挂可太多了,2
这是瓦罗兰特不是无畏契约,2
烟里有个包点,2
然后一想到国服,2
RGB,2
你居然能联系到客服,2
无所谓，我走地鸡可以叫烈焰来耕地,2
真别拿go的饰品交易说话,2
雷蛇rgb，你值得信赖,2
这比赌博都来劲，不如直接买呢,2
大满贯,2
抽烟了,2
荒野反叛，帝王风范,2
《人脸识别通过》,2
瓦的反挂稀碎，但吊打cs的反挂,2
铃铛死某刻,2
一个人搁这过年呢,2
血本无归？csgo帮我交了学费捏,2
《次元飘移》,2
瓦至少国际服真没有什么挂，环境也好，马服我不好说,2
拉裤的小曲,2
你不是心悦3不封你封谁,2
色 盲 检 测 程 序,2
瓦皮肤圣经,2
马服能活过两年？,2
赌博真的是,2
外面一封一个,2
你完蛋了！,2
FPS原神,2
蓝色不是夜戮吗,2
国服瓦环境意外还不错，黑子没得逞,2
一局五个大，怎么可能？,2
瓦封挂力度还不够？你在搞笑,2
结局v？ ,2
你们，软弱无力！（）,2
小镇bgm,2
现在箱子更贵了。。。唉,2
捷提？不是捷风？(,2
要素太多,2
byd智慧手枪是吧,2
从此走上了不归路（悲,2
队友看了一眼中路，哭着跑回来了,2
少个KAYO,2
别说了，已经后悔了呜呜呜,2
你说得对但是1:10,2
星之彩,2
别炒了,2
这哭着的时候，被一枪头，戏剧性更上一层楼（doge）,2
自己买的闪凭什么请对面吃,2
BYD优先级免费是吧,2
队友:6,2
傻子才充,2
大哥的坚持与努力，心酸与汗水,2
问一会红一会蓝一会绿的，只有你玩过了才知道,2
1：10还有一堆挂，真的有人会玩吗,2
什么恶灵,2
你说的对 但是个人近战单位是,2
bgm太应景了,2
国服谁充钱我笑谁哈哈哈哈哈,2
草，这个视频出处是哪来着,2
孙一峰是吧，专闪黄哥,2
建议再炼金一下,2
阳光好刺眼啊,2
tx游戏充10000＝500    ,2
阴      曹      地      府,2
又是樱岛麻衣,2
cncs,2
对大哥的认可,2
不是低着头我不认可,2
哦，男孩别哭,2
你确定不是恶灵？,2
靠 樱岛麻衣,2
燃起来！,2
不是跳投我不是很认可,2
国服没这些,2
cf开挂网上虽然玩的梗，但是打生化真的t。,2
明明200个箱子钥匙+出蝴蝶的箱子都够一把弟弟蝴蝶了（doge）,2
得了吧瓦的反外挂稀碎,2
不是直接开转？,2
这八成是挑战房大哥,2
你的脸怎么红了,2
rgb闪光弹,2
北京现状,2
客服电话打得通？,2
马服根本不封,2
开箱の小曲,2
说得好，不保值,2
樱岛麻衣,2
啊蹦迪,2
无畏契约？没听说过，只知道特战英豪,2
cf排位现在没有挂，网上只是玩梗的多,2
新学的道具，还扔呲了是吧,2
我就站在梦的光点,2
一公分以内人畜不分,2
这个是真绷不住,2
Maga小曲,2
7355608,2
不如个人近战单位,2
都什么年代了，还在玩传统FPS,2
大斌子再来五北,2
刀形太丑了,2
屏幕检测是吧,2
現在瓦沒掛吧,2
國服的反作弊自研的懂都懂外服沒掛,2
大败而归！,2
你国服稀碎，外服是一封一个准,2
国服稀碎管我港服什么事,2
你说得对但是国服1比10谁氪谁砂匕,2
菊花bgm是吧,2
异星爆杀,2
不是个人近战单位？,2
解释一下，怜悯之刃是限定刀，今年二月没买以后就买不到了,2
这游戏挂多的很还都是自瞄,2
你说的对，但是个人近战单位是,2
前面说变成暖暖的逆天 这顶多和lol一样阉割 涨价 腾讯没权利自己做皮肤,2
我和我的动物朋友们,2
nc,2
瓦国服稀碎,2
马服挂也不少 昨天还碰见锁头的,2
夏天到了还穿毛衣,2
这不是烟雾弹 这是星辰大海,2
遇见彩虹,2
这盖可能让他活到现在证明这局还是很公平的,2
高手过招,2
《沃教逆麻》,2
nobody,2
能排到这种局这炼狱也很抽象,2
对面：按4拆包！,2
小莫菲特,2
菜到一块儿了哈哈哈哈哈,2
笑死 红孩儿,2
一想到这把两边一定有一队要赢，我就浑身难受,2
他在找键吗，还停下来反应一下,2
这盖克也是个高手,2
这场战斗并非清汤寡水，多名大厨正在烹饪,2
战神睡觉,2
还有高手?,2
对面也是抽象啊,2
昨天也遇到队友不会拆包的哈哈,2
高手对战,2
在这种局打哥们你也得反思下自己,2
就是唐人分段啊，前面几个人的视角也都挺奇怪的,2
他手是刚长出来吗,2
抽抽我的,2
好方法,2
二3哥哥太帅了,2
和这个抛物线相同的道具都能用比如蝰蛇的蛇吻,2
欧门可以用么（doge）,2
就一吧看不起谁呢，来！一人一吧,2
可是守包时A大被架住了，走不了三步怎么办,2
学到了，平时懒得记点位，扔道具基本凭感觉​,2
更难了……,2
学到了？可能,2
*是我，混响炼狱*,2
厨王争霸,2
炼狱本人上号了属于是哈哈哈哈哈,2
《鼓励式教育》,2
你这段位 你也太菜了吧,2
这里空大我就知道这哥们不简单,2
盖克在走a,2
我摁半天E为什么没反应啊（恼）,2
能排到一局不是没有原因的这两位,2
饱了哈哈哈哈,2
你得反思一下为什么排到这种,2
势均力敌的对手,2
是火男这个英雄的属性就这样吗？为什么我遇到的抢包还不肯下包的大部分都是火男,2
满汉全席,2
《nobody》,2
咋还有小孩儿捏,2
哥哥很有耐心很喜欢,2
提前枪,2
《厨王争霸》,2
对面盖克也挺逆天,2
一想到这回合有一方要赢就好难受,2
王牌对王牌,2
好精彩的对局,2
8岁这个id太对辣,2
旗鼓相当,2
没时间了吧,2
还有天才！?,2
恶臭火男,2
10左右可以看出游戏天赋,2
打成apex了,2
很难想象这两边电脑前坐的是人,2
要素过多,2
你猜他为什么掏闪前挂了会机？因为在找q（doge）,2
奶妈声音像塔菲,2
皮蛋要飞起来给盖克一拳了,2
n o b o d y,2
逆天id,2
能匹配到这种人，也不正常,2
下饭,2
声控游戏,2
最喜欢的一套,2
小心眼睛,2
想一想你们为什么会在这个对局里,2
一个不会拆 一个不会下 难绷,2
这个炼狱好吵啊,2
我挺喜欢的,2
看到标题就笑了,2
《火童》,2
皮蛋：二臂训练师,2
全是大厨,2
？还有高手,2
一个大跳过去奥丁开扫，帅,2
棋逢对手将遇良才,2
这都五步了,2
这不早就有了吗 都半年了怎么现在还有人不知道,2
有这么多钱都能买把真的了。。。,2
国服瓦封禁力度很大,2
包点一堆丁针,2
《为堕落的褪色者起名》,2
@EDG Smoggy,2
钊哥就是因为太强被封过,2
硬黑还行，你家cf的竞技可以踢人哈哈,2
蜘蛛侠烟,2
外服是婕提,2
go就是坑钱的游戏。,2
开局：你肯定也看上了我的鞋子。当心眼睛！   啊~~（治疗音效）。啊！来吧！对局失败，其余4人整开麦对墨菲特进行友好交流,2
淦，离我远点，不死鸟,2
今天刚看完这个夜戮视频，hhhhh,2
CF只有挑战喊大哥，其他模式都是直接问候浮木,2
Open the SKY!,2
冷知识：瓦的反外挂可以算是世界前茅了，但不包括马服,2
没钱起枪了细节,2
蝴蝶 是 鹰歌弓加闪避护符加短棍,2
羞羞遮脸,2
闭眼张口,2
怎么忘记我ko的青色闪,2
天天玩尬，不知道16年就有OW了是吧,2
出来多久了，人尽皆知的东西还搁这教呢,2
小头一低，重拳出击,2
不是，我信息位不透视怎么拿信息啊,2
背背背背背起了行囊,2
王源?明明是彩色的丁真,2
S.T.A.Y！,2
显示屏坏点检测,2
csgo血本无归？不会买只会开箱？,2
瓦挂可不少,2
jett是捷风,2
网吧玩被误封了,2
细节低头瞄点,2
是不是你太菜了，你才觉得对面是挂,2
该来的还是来了,2
请给我个接口,2
csgo现状,2
这么双标,2
哈哈哈哈哈EDG的smoggy，因为太准了一晚上被举报了八十多次,2
玩无妻玩的（doge）,2
我要扔傻瓜蛋,2
斯凯别叫,2
you are powerless,2
原神启动,2
但是A点刚走出门就可能被打,2
说得好，但我如果掏出的是苏法，阁下如何应对,2
假的很,2
好像考科目二,2
秘技有但好像实战没有，蝰蛇是这样的,2
自己有了能打钱吗（）,2
牛的,2
一个雷，扔灯上了，弹回来给队友炸死了，骂了我一局,2
敏感肌可以用吗,2
这个很早就在其他视频看到了,2
好闪啊好闪,2
感觉很实用，除开一些特殊地形,2
还有这种事,2
学会了，快删,2
冲冲冲,2
好好好，这四个英雄我都没有,2
炼狱能用吗,2
年轻就是好倒头就睡,2
火男可以吗？,2
哈哈哈哈哈真实,2
好早,2
经典三决斗,2
自行车把,2
不如离火扇了现在,2
你们有没有乱封号现象,2
烟没白色的？,2
冷知识：瓦国服的反作弊甚至强于外服,2
有白色的，不过是电子烟,2
包点一个王源,2
误入歧途,2
你说得对，但是《1:10》谁氪谁撒匕,2
我先来！男孩别哭！,2
《7355608》,2
不原地转圈我不是很认可,2
检测屏幕坏点,2
武士刀确实不好看，挺别扭的,2
超叼！,2
为啥不用原皮,2
可以播彩六,2
23333,2
小镇的小曲,2
ILL HAVE THE REST,2
傻瓜蛋!,2
他起码还是队伍里战绩靠前的，哈哈哈哈哈,2
sova：带不动,2
短ttk确实更容易让人高血压。。。,2
开张了，感动,2
up：好害怕，我1/6,2
含马量极高,2
up陷入了沉思,2
排位坑要骂，匹配娱乐算了吧,2
又开始学历了吗？,2
1/7 ,2
雷滋：6,2
匹配就算了配,2
这回没人说这是东北人了,2
哈哈哈，0/5,2
干哈呢？是不是东北口音,2
《菜大师又来到了最后一名,2
菜大师此刻又最后一名了,2
出生火男打匹配还压力起来了,2
是我我乐死了,2
这怎么还在打A啊给我急死了,2
up：起来重死,2
经典地域黑,2
好像香锅声音哈哈哈,2
？地域黑,2
真伤加暴击了,2
感觉匹到过这个人，声音像，又菜又先手骂人,2
这火男急死了,2
都是电报员,2
即使把对方族谱都飞完了还是叫对方兄弟，笑飞了,2
遇到这种人，我宁愿去货场直面子墨的kv莫洛,2
好玩，爱玩，想玩！,2
这俩嘴肯定是ow过来的,2
挨骂挨及了,2
是我就一起喷他,2
这都能狗叫,2
火男骂人也要套公式，怪不得当压力狗,2
这个三个字的像生活中常见的那种逆天,2
对味儿了,2
什么雌小鬼,2
剛復活就又被打掉了,2
躺枪,2
还不屏蔽啊,2
哈哈哈up被骂了,2
我负战绩都不敢说话，他打成这样就开始叫了,2
双方母亲损失惨重,2
南蛮子别玩,2
go批也是一样烂,2
这个得是，看来是西安人了,2
有的人玩的菜还秒选决斗。怎么办,2
有些队友实在太菜。没办法,2
匹配没绷住,2
这个坏人不是瑞典人，不代表瑞典就存在好人,2
杂鱼，杂鱼（雌小鬼既视感）,2
up哈哈,2
给up小建议 这种情况（经济）最好起道具配小甲,2
这游戏就这泌阳！,2
心疼个毛 静音不就行了 纯粹觉得好玩录下来吧,2
好幼稚,2
他有钱,2
确实，有些人就是容易急,2
哈哈哈哈哈小学生,2
还好我csgo是s把把杀第一但一个技能不会按也没人敢喷我,2
1:10的局我不知道他到底在干什么,2
什么aoe,2
这就是无畏契约的打法吗？ 学到了,2
火男喜欢压力人,2
又菜又爱玩,2
山东人开始啦，被骂就转火贵州!太浩克啦,2
有一说一啊，个人觉得去打外服环境更加好一些。骂人的真心不多（骂了其实咱也听不懂）,2
我觉得保安屏蔽了火男（没看到后面 到目前觉得如此）错了别喷,2
清一色的负战绩,2
要不是up想给我们看某些人的素质（打游戏破防的人）也不会忍受一整局早屏蔽了（泪目）,2
这个烟没绷住（关注点奇妙）,2
幸存者偏差就是  还在这这就是国服环境啧啧啧都只会比比这句话,2
保安0-6如果防守被冲烂能理解 但进攻0-6-0有些太过了我觉得啊,2
up能忍住不屏蔽也很厉害了,2
应该说给nm杀了，不能被牵着走,2
？压力怪slml,2
奶妈x经典结局233333,2
这属于是逮谁喷谁了，哈哈哈,2
地域黑,2
火男骂人太菜了，建议别顶嘴了，太费了,2
我们孔孟之乡是这样的,2
呵呵这帮人就是从CSGO过来的,2
这应该是刚开始的4局吧,2
山东人表示被冒犯到,2
一眼火男破防,2
up终于杀人了,2
不给别人买扇子，又开始地域黑了,2
经典玩的菜不能买扇子,2
真伤+暴击,2
我超，地狱骑士,2
所以一般不开语音,2
比经济比学历抵御歧视，buff拉满了,2
都玩奶妈，你还要怎么压力人家,2
我打cs跟cf一年都难遇上一次这种，打瓦也少,2
我觉得骂的没问题，不跟队友配合不沟通确实不配玩这种游戏,2
六八了，六个人都杀不到,2
拉倒吧，csgo也一个德行，错的不是游戏，是人的素质,2
经典不会玩就不准玩,2
手机给我骂卡了,2
哈哈，up最后一位了,2
在我对面，打爆你！,2
就喜欢这种互喷的视频，最好五个人一起,2
他在6nm呢,2
复活起来从死一遍,2
真的有点搞笑队友打的这么菜还有脸说,2
糕手,2
经典给对面刷人头,2
新人不能玩哦，不然会坑我们高贵的CSGO玩家,2
嗨呀急昏了,2
我一把也是不会玩，很努力在玩了，也是被队友骂母亲，直接退了,2
奇乐可爱捏,2
没办法 有些人急了就喜欢地域黑了,2
6你劳亩,2
最讨厌说666的人才了,2
俩都是东北人,2
这傻鸟6牛魔呢,2
匹配确实随便，竞技有压力才正常,2
瓦自己烂还得带上go是吧，赢！,2
up骂回去啊急死我了,2
刚来。这是在发电报嘛？,2
raze人傻了,2
这游戏是他木琴吗还不让人玩？,2
不止这个游戏国服特色,2
火狗玩家,2
这火男真像个小丑，笑嘻了,2
捡枪可爱捏,2
玩家主体变了，以前也有吧，我是感觉没那么恶劣,2
玩个游戏都tm赢媳妇呢，？张嘴就骂人，啥游戏都有新手，都有玩的不好的，怎么，还太让人玩了？,2
玩的菜不让说？,2
《还好我1/6》,2
笑死，进攻保安本来就难受，还有个觉得不进点前压，搁这压力队友,2
这是匹配不是排位,2
经典复活队友吸引火力,2
这个ID记住了,2
狠人，隊友擋子彈,2
就不该出语音系统,2
至少两波人都不喜欢黑晷,2
csgo休闲可没这么差,2
赶紧退坑瓦吧，来csgo,2
什么玩意儿,2
up ip河南还有人说东北蚌埠住了,2
强者从不抱怨环境，弱者只会找队友问题,2
明显是屏蔽了，还在那叫，笑死我了,2
开门见山,2
哈哈哈，激情对线,2
《就你也配》,2
哈哈哈哈点赞支持一下,2
跟b站弹幕似的没挠,2
csgo环境比这好多了,2
先前还好，看到复活的队友直接再死一次我是真的绷不住了,2
打匹配闭着麦骂两句就得了呗，谁还没当过新手,2
国服是真的让人不爽，半夜挂壁是真的多，喜欢单排的建议直接卸载了,2
go批滚吧,2
花3百当人上人咯,2
5-5也差不多了一样水平说实话,2
打个匹配都这样，打排位我都不敢想,2
小孩子是这样的。几百块的一个东西都能拿来装。可能他充的这钱都不是他赚来的。开口就攻击人配不配买扇子，上网上傻了,2
这游戏确实只有fw  cs在玩,2
up被扫射转移了蚌埠住了,2
好好好，特色了属于是,2
全自动消音,2
消什么音我啥都听不懂,2
太真实了 其他服没体验过但国服感觉素质是真的差 骂人的不少,2
另外两个队友也不劝架？一声不吭？,2
打go只要会沟通队友都不会骂你,2
现在go的环境没以前好，四年前打go整把杀3个队友都在鼓励我，现在我杀30个也不会压力队友,2
一群糟心玩意不玩也罢,2
是我就直接闭麦不解释不发言！实在不行直接卸载玩游戏不是来糟心的。,2
就一把匹配，有必要这样要求队友水平有多高嘛，咋不去排位呢,2
玩贴吧玩的,2
黑市刀头太短了，我选这个,2
樱岛麻衣太细节了,2
面具一戴直接开启星际穿越,2
可是，1比10,2
阿桑！林月如！不！,2
沉 没 成 本,2
不是姐特？,2
氪！,2
什么星际穿越,2
f11是对大哥的肯定，f12是对大哥的不舍,2
经典新手开箱,2
怜    悯    圣    经,2
没钱了e一把,2
这不配个男孩别哭，不是很认可,2
《星 际 穿 越》,2
氛  围  灯,2
你说的对，但1:10,2
你说的对 但是个人近战单位是一把t0级别的武器 后面我忘了,2
劝人开箱（,2
你的脸怎么黄了，精神焕发,2
耳机蛋白皮破了诶,2
早知道不开区,2
你说得对，但是无畏契约是一款1:10的,2
圣经过期了，已经买不到利,2
男孩别哭～,2
你竟敢杀了金铁兽！,2
自己买的闪为什么要给别人吃,2
圈中的不要,2
此时，一阵强劲的音乐响起~,2
《梦的光点》,2
拉裤之歌,2
' ’,2
不是《从头再来》我不是很同意（doge）,2
小镇的小曲（,2
这是进迪厅了？,2
哈哈啊哈哈,2
你在亚空间吗,2
一轮强劲的音乐响起,2
我哪有什么头猪,2
什么5e放手一搏,2
你怎么一会儿红一会儿蓝，一会儿绿的？,2
满地烟,2
色准检测,2
都什么年代了还在玩传统FPS（doge）,2
你说的对但是我冠军蝴蝶,2
你说得对，但是太极扇云淡风轻，随时可以扇一扇,2
我有冠军蝴蝶刀,2
开赌！,2
一败涂地了家人们,2
请速速购入个人近战单位,2
准备好星际穿越,2
ow apex,2
笑死了，昨天封测刚遇到一个锁头，fps就没有没挂的,2
通透世界是吧,2
虽然1：10，但你还是买不到怜悯之刃,2
但是瓦罗兰特也能转啊,2
byd匪家下包是吧,2
RGB是吧？,2
经典来了,2
不是阿卡丽？,2
我有，怎么办,2
直接开锁，1帧5杀,2
找好瞄点还能丢疵是吧,2
这个是几个英雄的闪光,2
tx有活人客服？,2
apex：冲击我们这一小撮，幸运的一小撮,2
楼顶烟防蝙蝠侠,2
队友：wdnmd,2
鬼打墙,2
你说的对，但是1：10是由马服自主运营的……,2
说得好 我有异星,2
无畏契约根本不管外挂，，管外挂的叫瓦罗兰特,2
但是1-10,2
有次对面四个烟位那场面相当震撼了,2
给我下降头呢？,2
开200箱都能买一把了,2
我看过这个贴了,2
恶灵是吧,2
走上赌博的一小步...真不建议开箱,2
个人近战单位真的一般般,2
霓虹电手指,2
洛卡！,2
反作弊还没上呢,2
红色是墨菲特、绿色是斯凯、蓝色是ko,2
22%,2
我在哪,2
颜色错了应该是绿色比蓝色更早,2
局 部 多 云,2
腾讯 太ex了套装蝴蝶刀是送的 单买蝴蝶刀最贵真的ex人  要不你就别送  要不就别最贵,2
这个真的玩不腻,2
离火刃，行 离火扇，不行,2
写实个屁,2
有一说一，刷的挺快的，我每次两三次就刷出来了,2
"性价比之神,而且是真的玩不腻。",2
不认可,2
这个是城市数码迷彩,2
"不是无握把,那个是阻手器",2
侦查行动的优秀手感是在你玩过不少特效皮后才能感受到的，最纯粹的打枪享受,2
我怎么感觉没玩具音效大,2
？细说整根,2
饭里有毒！,2
垂握神中神,2
nobody！！！,2
电工钳模型不好看,2
恶灵是什么枪,2
S,2
说得好像一定刷得到一样,2
电玩的掏枪太难受了,2
给的全是能用的,2
给马服充钱那纯冤种，国服比港服都贵三倍不止。人傻钱多喜欢当猪头的那随意,2
@菊花,2
